Details,Area,Adress,Price,ImageLink
:,300 ,Yoff Dakar,13000000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/2556229609855c670ec6d840d41ed70d/-/horizon-files-prod/ed/picture/q0g786mz/d0acc4facceb041c581cd88da01397d6f5d07efa.png 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/bb272b54a4ec3423cccab737f5a53eb4/-/horizon-files-prod/ed/picture/q0g786mz/d0acc4facceb041c581cd88da01397d6f5d07efa.png 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/6eb9b2acb7fab8813dc8781758ad314f/-/horizon-files-prod/ed/picture/q0g786mz/d0acc4facceb041c581cd88da01397d6f5d07efa.png 1028w"
6175498,150 ,Kounoune Dakar,14000000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/07f348c2d19b85fdbf46f9ded4b53ed8/-/horizon-files-prod/ed/picture/qrz86dn5/46c2b7089a139b6bf218b527007d4aa7a1332885.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/e53dc26c7a27db7fb163041f483733b3/-/horizon-files-prod/ed/picture/qrz86dn5/46c2b7089a139b6bf218b527007d4aa7a1332885.jpg 780w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/a40da73b3ee281ca0a68e04b785452a0/-/horizon-files-prod/ed/picture/qrz86dn5/46c2b7089a139b6bf218b527007d4aa7a1332885.jpg 780w"
6151447,150 ,Kounoune Dakar,14000000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/02c01c1a693d3f26a440669b243b72c0/-/horizon-files-prod/ed/picture/q0g7k6xk/6a0cc63d464a3f547b39d57c28f8ddc30a50fa7f.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/e5a9416ef0f72cf4ec7fc8ba5765adef/-/horizon-files-prod/ed/picture/q0g7k6xk/6a0cc63d464a3f547b39d57c28f8ddc30a50fa7f.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/7df431634ab472b7351bf1387985f58c/-/horizon-files-prod/ed/picture/q0g7k6xk/6a0cc63d464a3f547b39d57c28f8ddc30a50fa7f.jpg 1080w"
6220787,"3,100 ",Mbour Thiès,120 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/0db38ccabf6a834008d6bf8e3a09fc52/-/horizon-files-prod/ed/picture/qzvp5pnv/ccaf476f8001b953a6ac1a2957ffa1dcb0f999b5.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/a93f3056ef67d393340b97c870a160bf/-/horizon-files-prod/ed/picture/qzvp5pnv/ccaf476f8001b953a6ac1a2957ffa1dcb0f999b5.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b55e58227116a27c16290bd384eac87b/-/horizon-files-prod/ed/picture/qzvp5pnv/ccaf476f8001b953a6ac1a2957ffa1dcb0f999b5.jpg 1884w"
5995775,150 ,Ndiakhirate Dakar,14000000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/80b921098292a4aad615ebed376edcc1/-/horizon-files-prod/ed/picture/q44824e5/07ebe30049bfd5c90b818012872931364361e2b1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/ec76df5d7ce72bc3cf3c9cff0e49325c/-/horizon-files-prod/ed/picture/q44824e5/07ebe30049bfd5c90b818012872931364361e2b1.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/3f87586814c61a2e142b25246da1fc4e/-/horizon-files-prod/ed/picture/q44824e5/07ebe30049bfd5c90b818012872931364361e2b1.jpg 960w"
5968241,150 ,Sangalkam Dakar,10000000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bc3bcfc34e0b80917c78e7c872b3c44/-/horizon-files-prod/ed/picture/q56xv56n/02108abc7e9160852aedd65c2c609189d0aec557.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3ba53a7027e8da8d7626989df23ac85a/-/horizon-files-prod/ed/picture/q56xv56n/02108abc7e9160852aedd65c2c609189d0aec557.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/504b2f1cb5b5de12dde7632c5a8bac94/-/horizon-files-prod/ed/picture/q56xv56n/02108abc7e9160852aedd65c2c609189d0aec557.jpg 844w"
3224180,300 ,Mbour Thiès,4300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/4fe0baeea27dbcaa98e68b6d920c2d1f/-/horizon-files-prod/ed/picture/qkdzeqn/2a79802d6cde5d7e265b9d22218bc0b045ed5786.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/e9589c41c0a28911e46285f6c500fff8/-/horizon-files-prod/ed/picture/qkdzeqn/2a79802d6cde5d7e265b9d22218bc0b045ed5786.jpg 750w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/8ad68b057004ada7de94455b2a438bc7/-/horizon-files-prod/ed/picture/qkdzeqn/2a79802d6cde5d7e265b9d22218bc0b045ed5786.jpg 750w"
6220639,158 ,Almadies 2 Dakar,25000000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/040e4b967bde565f90c9b90b379c7a85/-/horizon-files-prod/ed/picture/q2j0n0n8/ddcd136d578457b4b213c5cbe592255a66b77538.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/9868f6402cc1659052f481a6b2b0fa9e/-/horizon-files-prod/ed/picture/q2j0n0n8/ddcd136d578457b4b213c5cbe592255a66b77538.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/f833caade9637c57ed213c82f8560a16/-/horizon-files-prod/ed/picture/q2j0n0n8/ddcd136d578457b4b213c5cbe592255a66b77538.jpg 1920w"
6198620,150 ,Guediawaye Dakar,29500000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/5da24565108b029c3ed60ac3cb6e4ef3/-/horizon-files-prod/ed/picture/qenv2qn2/64cb793e581831e8fee68ace0e7c9960d638ffa1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d78a0b6db22095290ee1d2cf5d920c5c/-/horizon-files-prod/ed/picture/qenv2qn2/64cb793e581831e8fee68ace0e7c9960d638ffa1.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/5e5d9147fe22c285017a6f7b83f6ce45/-/horizon-files-prod/ed/picture/qenv2qn2/64cb793e581831e8fee68ace0e7c9960d638ffa1.jpg 1479w"
6150386,150 ,Sangalkam Dakar,13500000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5b5d1bb0533149337566bac58959c1c/-/horizon-files-prod/ed/picture/qenvrmwd/6c4b95d6a3deec80f44e0485b350bfc764848338.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/632785abfb4cc380f3babba0d63e7d8a/-/horizon-files-prod/ed/picture/qenvrmwd/6c4b95d6a3deec80f44e0485b350bfc764848338.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/3d19196fb8480c5ddd6a53faa811a68f/-/horizon-files-prod/ed/picture/qenvrmwd/6c4b95d6a3deec80f44e0485b350bfc764848338.jpg 1242w"
